DATE,ITEM,NAME,SPEC,AC_CODE,WC_CODE,LOC,VD_CODE,VD_NAME,UP,CUR,ORDER_BAL,UNIT,BEGIN_QTY,RECEIVE_QTY,ISSUE_QTY,STOCK_QTY,LAST_ISSUED_DATE,LAST_STOCK_IN_DATE,STOCK_AGE,GROUP_AGE
2025-01-01,SKU-0048,STEEL COIL,STE-0048,4520AH,CF19,3,NIP262,Nippon Precision Bar,92.0924334,BT,712134,KGS,74998,488059,493910,69148,2026-08-05,2026-08-31,0,0-3 months
2025-01-01,SKU-0049,STEEL PIPE,STE-0049,4520AF,TN19,3,SUM330,Sumitomo Metal Solutions,228.4069589,BT,1600,KGS,407,3323,2944,787,2026-08-05,2026-08-27,0,0-3 months
2025-01-01,SKU-0050,STEEL PIPE,STE-0050,4520AF,TN19,3,SUM330,Sumitomo Metal Solutions,227.746461,BT,0,KGS,0,446,8,438,2026-06-06,2025-01-03,20,12-24 months
2025-01-01,SKU-0051,STEEL PIPE,STE-0051,4520AF,TN19,3,SUM330,Sumitomo Metal Solutions,229.7953846,BT,14014,KGS,172,0,0,172,2026-08-05,2026-08-20,0,0-3 months
2025-01-01,SKU-0052,STEEL PIPE,STE-0052,4520AF,TN19,3,SUM330,Sumitomo Metal Solutions,206.2801598,BT,11130,KGS,943,9045,7994,1994,2026-08-05,2026-08-27,0,0-3 months
2025-01-01,SKU-0053,STEEL PIPE,STE-0053,4520AF,TN19,3,SUM330,Sumitomo Metal Solutions,206.4535302,BT,4100,KGS,1021,2702,3287,436,2026-08-05,2026-08-27,0,0-3 months
2025-01-01,SKU-0054,STEEL PIPE,STE-0054,4520AF,TN19,3,SUM330,Sumitomo Metal Solutions,203.3235969,BT,5466,KGS,2638,14531,13958,3212,2026-08-05,2026-08-20,0,0-3 months
2025-01-01,SKU-0055,STEEL PIPE,STE-0055,4520AF,TN19,3,SUM330,Sumitomo Metal Solutions,204.5480255,BT,49640,KGS,3788,1786,4880,695,2026-06-06,2026-08-27,0,0-3 months
2025-01-01,SKU-0056,STEEL PIPE,STE-0056,4520AF,TN19,3,SUM330,Sumitomo Metal Solutions,223.7075472,BT,1100,KGS,2174,3068,3458,1784,2026-08-05,2026-08-27,0,0-3 months
2025-01-01,SKU-0057,STEEL PIPE,STE-0057,4520AF,TN19,3,SUM330,Sumitomo Metal Solutions,205.071744,BT,0,KGS,0,1309,0,1309,2026-04-03,2026-05-05,4,3-6 months
