YEAR4,MONTH2,PART_NO,PROCESS,OK_QTY,NG_QTY,TYPE,PROCNAME,SERI,SIZE,AC_PROCESS
2026,6,2-608X11H05ATTP93(T),1120,169907,15390,2,S/F PROD.,2-608,SMALL,1120
2026,5,2SF-609ZZB35TP93,1120,247590,15424,2,S/F PROD.,2-609,MIDDLE,1120
2026,2,1SFR-1980HHMTSTP93(SPC),1120,508909,15441,1,S/F PROD.,1R-1980,SMALL,1120
2026,5,2SF-6000X2ZZ-N,1120,867100,15444,2,S/F PROD.,¡.¾.-00,MIDDLE,1120
2026,1,1AS-1919E01TP93,1120,351370,15464,1,S/F PROD.,Á.¤.-19,SMALL,1120
2026,1,1HC-609ZZS3,1120,309831,15467,1,S/F PROD.,1-609,MIDDLE,1120
2026,2,1SFL-1680XHHMTS2TP93,1120,1378928,15538,1,S/F PROD.,1L-1680,SMALL,1120
2026,2,1-608SD25H04ATS2TP93(BIG),1120,463264,15552,1,S/F PROD.,1-608,SMALL,1120
2026,5,2-608X11SD101H05TP93(BIG),1120,106650,15600,2,S/F PROD.,2-608,SMALL,1120
2026,3,1AS-1380S2TP93(NRC),09F7,224899,15602,1,R/W SORTING,1-608,SMALL,Unknown
2026,5,1SFR-4X3HHMTS2TP93,1120,49334,15617,1,S/F PROD.,1R-4X3,SMALL,1120
2026,7,1SF-608ZZSD25S2TP93,09F7,357108,15637,1,R/W SORTING,1-608,SMALL,Unknown
2026,2,1SFRI-1438X3HHMTS2TP93,1120,56320,15639,1,S/F PROD.,1RI-1438,SMALL,1120
2026,5,1SFR-1980HHSTP93,220,4345200,15650,1,ROUGH O.D. GRINDING1,1R-1980,SMALL,Unknown
2026,6,1SF-608ZZH04ATS2TP93,1120,682767,15659,1,S/F PROD.,1-608,SMALL,1120
2026,1,1SFR-1350X3ZZMTTP93,1120,1444656,15676,1,S/F PROD.,1R-1350,SMALL,1120
2026,2,2SF-608X12ZZ-NTP93(T),1120,1255793,15737,2,S/F PROD.,2-608,SMALL,1120
2026,6,2SFR-1350X3SD21MTTP93(S),1120,126988,15741,2,S/F PROD.,2R-1350,SMALL,1120
2026,4,2R-1340X5SD225CVMTTP93(S),1120,269431,15792,2,S/F PROD.,2R-1340,SMALL,1120
2026,4,2SFL-1680XHHMTTP93(SPC-S),1120,179634,15834,2,S/F PROD.,2L-1680,SMALL,1120
2026,2,1SFRNR-1560X2ZZMTSTP93,1120,119960,15856,1,S/F PROD.,1R-1560,SMALL,1120
2026,5,1SFL-1680XHHS2TP93(NHB),557,2979732,15892,1,SORTING AFTER CHECKER TN,1L-1680,SMALL,Unknown
2026,4,1SFR-1560X2ZZSTP93,230,4844000,15902,1,ROUGH SIDE LAP B,1R-1560,SMALL,Unknown
2026,4,2SF-626XZZB70-NTP93,1120,116935,15960,2,S/F PROD.,2-626,SMALL,1120
2026,1,2SF-626XZZ-NTP93(S),1120,340544,15995,2,S/F PROD.,2-626,SMALL,1120
2026,4,1SFR-1350X3ZZTP93,770,1905653,16020,1,O.D. SUPERFINISH,1R-1350,SMALL,760
2026,7,1AS-1A32E01,657,296276,16045,1,NR GROOVE SORTING,1-1A32,SMALL,710
2026,3,2SF-608X9ZZSD105AT-NTP93,1120,298440,16170,2,S/F PROD.,2-608,SMALL,1120
2026,1,2SF-626XZZ-NTP93,112M,935165,16188,2,SUPER FINISH,2-626,SMALL,1120
2026,3,2-608X11H05ATTP93BIG(T),1120,276090,16200,2,S/F PROD.,2-608,SMALL,1120
2026,7,2SFR-1980HHAT(T),1120,276465,16226,2,S/F PROD.,2R-1980,SMALL,1120
2026,7,2SF-608X12ZZ-N(T),07B1,1099815,16236,2,SIDE LAP (NO OD GRINDING),2-608,SMALL,760
2026,1,2R-1340B87SD747AT-NTP93-S,1120,44100,16338,2,S/F PROD.,2R-1340,SMALL,1120
2026,4,2SFR-4X3HHTP93(SCV)SPC(S),1120,25560,16338,2,S/F PROD.,2R-4X3,SMALL,1120
2026,3,2SF-626XZZ-NTP93,1120,863763,16371,2,S/F PROD.,2-626,SMALL,1120
2026,3,2SFR-4X3HHTP93(SCV)SPC(S),1120,55314,16422,2,S/F PROD.,2R-4X3,SMALL,1120
2026,7,2SFR-1350X3SD225AT(SA)(S),1120,261449,16430,2,S/F PROD.,2R-1350,SMALL,1120
2026,1,1HC-629X2ZZSD61S2,1120,139872,16469,1,S/F PROD.,1-629,MIDDLE,1120
2026,6,1-608SD25H04ATTP93-BIGSPC,09F7,1299461,16508,1,R/W SORTING,1-608,SMALL,Unknown
2026,4,1SFR-1980HHCVSTP93,1120,150204,16553,1,S/F PROD.,1R-1980,SMALL,1120
2026,5,2SF-608XZZ-N(SPC)(TB),1120,275610,16590,2,S/F PROD.,2-608,SMALL,1120
2026,1,2SF-608X12ZZ-NTP93(T),1120,1228800,16643,2,S/F PROD.,2-608,SMALL,1120
2026,3,2SF-608XZZ-NTP93(SPC),1120,409723,16655,2,S/F PROD.,2-608,SMALL,1120
2026,7,1SF-608X7ZZSD87S2TP93,09F7,1886268,16658,1,R/W SORTING,1-608,SMALL,Unknown
2026,4,1SFR-1340HHTP93,569,414060,16686,1,SHIELD GROOVE INSPECTION,1R-1340,SMALL,Unknown
2026,3,1HC-629X2ZZ,1120,320885,16786,1,S/F PROD.,1-629,MIDDLE,1120
2026,6,1AS-1380S2TP93(SPC),1120,639859,16796,1,S/F PROD.,1-608,SMALL,1120
2026,7,1HCR-2210X3HHMT,1120,551162,16827,1,S/F PROD.,1R-2210,SMALL,1120
2026,7,1SFR-1650X9HHS2TP93,260,5891574,16894,1,ROUGH GRINDING,1R-1650,SMALL,260
2026,7,1SFL-1680XHHMTS2TP93,1120,830338,16914,1,S/F PROD.,1L-1680,SMALL,1120
2026,5,1AS-1380S2TP93(SPC),1120,879493,16975,1,S/F PROD.,1-608,SMALL,1120
2026,7,2SFL-1910X5ZZTP93,1120,177060,16980,2,S/F PROD.,2L-1910,SMALL,1120
2026,7,1SFR-1980HHSTP93,230,3694800,17005,1,ROUGH SIDE LAP B,1R-1980,SMALL,Unknown
2026,6,2SF-608XZZAT-N,1120,203640,17010,2,S/F PROD.,2-608,SMALL,1120
2026,7,1SFR-1980HHSTP93,220,3569600,17051,1,ROUGH O.D. GRINDING1,1R-1980,SMALL,Unknown
2026,6,2SFR-1980HHMT(T),1120,548520,17057,2,S/F PROD.,2R-1980,SMALL,1120
2026,3,2SF-607XZZAT-NTP93(S),1120,307055,17080,2,S/F PROD.,2-607,SMALL,1120
2026,5,2R-1350X3SD21ATTP93(DC-S),1120,90644,17119,2,S/F PROD.,2R-1350,SMALL,1120
2026,4,2SF-608XZZ-NTP93(SPC)(S),1120,1192440,17120,2,S/F PROD.,2-608,SMALL,1120
2026,1,1SFR-1560X2HHTP93(HSG),770,2844785,17180,1,O.D. SUPERFINISH,1R-1560,SMALL,760
2026,2,1SFR-1560X2ZZSTP93,260,4626527,17234,1,ROUGH GRINDING,1R-1560,SMALL,260
2026,5,2SF-609ZZTP93,1120,170400,17280,2,S/F PROD.,2-609,MIDDLE,1120
2026,1,1SFR-1980HHCVSTP93,1120,262701,17298,1,S/F PROD.,1R-1980,SMALL,1120
2026,6,1SF-626ZZTP93,260,7440134,17329,1,ROUGH GRINDING,1-626,SMALL,260
2026,6,2SF-607XZZ-N(S),1120,635110,17360,2,S/F PROD.,2-607,SMALL,1120
2026,1,1SFR-1980HHCVSTP93(SPC),1120,259107,17362,1,S/F PROD.,1R-1980,SMALL,1120
2026,7,1HC-609ZZS3(M0.6),1120,176543,17386,1,S/F PROD.,1-609,MIDDLE,1120
2026,6,2SF-608XZZ-N(SPC)(S),1120,373620,17400,2,S/F PROD.,2-608,SMALL,1120
2026,3,2SFR-2210X3HHSD21MT-NTP93,1120,194726,17430,2,S/F PROD.,2R-2210,SMALL,1120
2026,4,1SF-626ZZTP93,1120,738889,17487,1,S/F PROD.,1-626,SMALL,1120
2026,6,2SFR-1980HHMT,1120,425320,17495,2,S/F PROD.,2R-1980,SMALL,1120
2026,5,2R-1340B87SD747AT-NTP93-S,1120,49980,17514,2,S/F PROD.,2R-1340,SMALL,1120
2026,5,2R-1340X5SD747AT-NTP93(S),1120,81606,17556,2,S/F PROD.,2R-1340,SMALL,1120
2026,1,1SF-608ZZATS2TP93,1120,1175712,17569,1,S/F PROD.,1-608,SMALL,1120
2026,4,1SFR-1560X2ZZSTP93,220,4696500,17581,1,ROUGH O.D. GRINDING1,1R-1560,SMALL,Unknown
2026,1,2-608X11SD101H05AT-NTP93,112M,341760,17615,2,SUPER FINISH,2-608,SMALL,1120
2026,6,2SFR-1350X3ZZB56AT(S),1120,226525,17728,2,S/F PROD.,2R-1350,SMALL,1120
2026,2,2SF-608XZZ-NTP93(TA),1120,928080,17790,2,S/F PROD.,2-608,SMALL,1120
2026,3,2SF-608XZZAT-NTP93(TA),1120,197298,17790,2,S/F PROD.,2-608,SMALL,1120
2026,6,1SF-608ZZSD25H04ATS2TP93K,1120,340816,17802,1,S/F PROD.,1-608,SMALL,1120
2026,2,1SFL-1680XHHS2TP93,09F7,336112,17880,1,R/W SORTING,1L-1680,SMALL,Unknown
2026,7,2SF-635XZZ-N,1120,130195,17885,2,S/F PROD.,2-635,SMALL,1120
2026,2,2R-1340X5SD747AT-NTP93(S),1120,52080,17898,2,S/F PROD.,2R-1340,SMALL,1120
2026,4,2SF-626XZZ-NTP93,1120,593432,17921,2,S/F PROD.,2-626,SMALL,1120
2026,7,1SFR-1980HHSTP93,210,3720600,17948,1,ROUGH SIDE LAP GRINDING1,1R-1980,SMALL,Unknown
2026,5,1R-1650X9HHSD273S2TP93,569,1047439,17948,1,SHIELD GROOVE INSPECTION,1R-1650,SMALL,Unknown
2026,1,1SF-608ZZS2TP93(SPC),940,12009997,17950,1,RACE WAY GRINDING (O/R),1-608,SMALL,Unknown
2026,7,2R-2210X3HHB18SD21MT-N(T),1120,139300,18060,2,S/F PROD.,2R-2210,SMALL,1120
2026,5,1SF-626ZZTP93,09F7,2098937,18084,1,R/W SORTING,1-626,SMALL,Unknown
2026,2,2R-1340X5SD225CVMTTP93(S),1120,406685,18144,2,S/F PROD.,2R-1340,SMALL,1120
2026,4,1SFL-1680XHHMTS2TP93,1120,387046,18190,1,S/F PROD.,1L-1680,SMALL,1120
2026,5,2SFR-1650X9HHMTTP93(S),1120,39648,18228,2,S/F PROD.,2R-1650,SMALL,1120
2026,1,2SFR-1980HHMTTP93(T),1120,1538313,18356,2,S/F PROD.,2R-1980,SMALL,1120
2026,3,1SF-626ZZTP93,260,7741979,18363,1,ROUGH GRINDING,1-626,SMALL,260
2026,3,1SF-626ZZATTP93,1120,243032,18379,1,S/F PROD.,1-626,SMALL,1120
2026,7,1SFR-1340HHCVMTTP93,1120,487332,18553,1,S/F PROD.,1R-1340,SMALL,1120
2026,7,1SF-608X7TP93(NOS)SPC,09F7,2018659,18576,1,R/W SORTING,1-608,SMALL,Unknown
2026,4,1HC-629X2ZZ,1120,511384,18622,1,S/F PROD.,1-629,MIDDLE,1120
2026,3,2SF-608XZZ-NTP93(SPC)(TA),1120,308340,18630,2,S/F PROD.,2-608,SMALL,1120
2026,1,2SF-608XZZAT-NTP93(S),1120,201120,18630,2,S/F PROD.,2-608,SMALL,1120
2026,1,2SF-608XZZSD87CVTP93(S),1120,183660,18717,2,S/F PROD.,2-608,SMALL,1120
